Player,Nation,Pos,Squad,Comp,Age,Born,90s,Gls,Sh,SoT,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,Dist,FK,PK,PKatt,xG,npxG,npxG/Sh,G-xG,np:G-xG,Matches,Gls/90,npG,npG/90,xG/90,npxG/90,xG/Sh,npG-npxG,shots_p90,accuracy,conversion,shots_p90_norm,accuracy_norm,conversion_norm,Dist_norm,shooting_profile
Santiago Giménez,MEX,FW,Milan,Serie A,23,2001,7.4,5,22,9,40.9,2.96,1.21,0.23,0.56,13.5,0,0,1,4.8,4.0,0.18,0.2,1.0,Matches,0.6756756756756757,5,0.6756756756756757,0.6486486486486486,0.5405405405405405,0.21818181818181817,1.0,2.972972972972973,0.4090909090909091,0.22727272727272727,0.6828986635475751,0.567045627854864,0.7910849895499329,0.1942148760330579,Clinical Finisher
Issa Soumaré,SEN,"FW,MF",Le Havre,Ligue 1,23,2000,21.1,5,43,19,44.2,2.03,0.9,0.12,0.26,16.5,2,0,0,3.8,3.8,0.09,1.2,1.2,Matches,0.23696682464454974,5,0.23696682464454974,0.1800947867298578,0.1800947867298578,0.08837209302325581,1.2000000000000002,2.037914691943128,0.4418604651162791,0.11627906976744186,0.336487021192247,0.7000520442300336,0.13655841848510106,0.5041322314049587,Balanced Shooter
Matìas Soulé,ARG,"MF,DF",Roma,Serie A,21,2003,19.8,5,42,13,31.0,2.12,0.66,0.12,0.38,21.1,1,0,0,3.0,3.0,0.07,2.0,2.0,Matches,0.25252525252525254,5,0.25252525252525254,0.15151515151515152,0.15151515151515152,0.07142857142857142,2.0,2.121212121212121,0.30952380952380953,0.11904761904761904,0.3673462733505921,0.16291860544305783,0.15288447808082245,0.9793388429752067,Balanced Shooter
Jeremie Frimpong,NED,"DF,MF",Leverkusen,Bundesliga,23,2000,25.7,5,34,16,47.1,1.32,0.62,0.15,0.31,14.6,0,0,0,4.1,4.1,0.12,0.9,0.9,Matches,0.19455252918287938,5,0.19455252918287938,0.15953307392996108,0.15953307392996108,0.12058823529411763,0.9000000000000004,1.3229571984435797,0.47058823529411764,0.14705882352941177,0.07161625905680924,0.8166534946386265,0.3180657869316511,0.30785123966942146,Balanced Shooter
Rubén García,ESP,"FW,MF",Osasuna,La Liga,31,1993,26.8,5,27,10,37.0,1.01,0.37,0.19,0.5,16.1,3,0,0,3.2,3.2,0.12,1.8,1.8,Matches,0.18656716417910446,5,0.18656716417910446,0.11940298507462686,0.11940298507462686,0.11851851851851852,1.7999999999999998,1.007462686567164,0.37037037037037035,0.18518518518518517,-0.04526519553319979,0.4098851191391614,0.5428959017563899,0.4628099173553721,Balanced Shooter
Lassine Sinayoko,MLI,"FW,MF",Auxerre,Ligue 1,24,1999,25.5,5,60,16,26.7,2.35,0.63,0.07,0.25,16.1,0,1,1,6.5,5.7,0.1,-1.5,-1.7,Matches,0.19607843137254902,4,0.1568627450980392,0.2549019607843137,0.2235294117647059,0.10833333333333334,-1.7000000000000002,2.3529411764705883,0.26666666666666666,0.08333333333333333,0.4531950853894772,-0.011031721595067462,-0.05772169070398401,0.4628099173553721,Balanced Shooter
Christian Nørgaard,DEN,MF,Brentford,Premier League,30,1994,31.3,5,39,15,38.5,1.25,0.48,0.13,0.33,14.3,0,0,0,4.3,4.3,0.11,0.7,0.7,Matches,0.1597444089456869,5,0.1597444089456869,0.13738019169329072,0.13738019169329072,0.11025641025641025,0.7000000000000002,1.2460063897763578,0.38461538461538464,0.1282051282051282,0.0431082435119128,0.46770336649276445,0.2068860598205164,0.27685950413223154,Balanced Shooter
Armin Gigovic,BIH,MF,Holstein Kiel,Bundesliga,22,2002,21.1,5,26,10,38.5,1.23,0.47,0.19,0.5,19.0,1,0,0,1.9,1.9,0.07,3.1,3.1,Matches,0.23696682464454974,5,0.23696682464454974,0.0900473933649289,0.0900473933649289,0.07307692307692307,3.1,1.2322274881516586,0.38461538461538464,0.19230769230769232,0.0380035649710121,0.46770336649276445,0.5848971319983742,0.762396694214876,Balanced Shooter
Vincent Sierro,SUI,MF,Toulouse,Ligue 1,28,1995,26.7,5,30,7,23.3,1.12,0.26,0.1,0.43,20.6,2,2,2,4.2,2.7,0.09,0.8,0.3,Matches,0.18726591760299627,3,0.11235955056179775,0.15730337078651688,0.10112359550561799,0.14,0.2999999999999998,1.1235955056179776,0.23333333333333334,0.16666666666666666,-0.002241395418367793,-0.14632642040249816,0.43369270312723107,0.9276859504132232,Balanced Shooter
Robin Gosens,GER,DF,Fiorentina,Serie A,30,1994,27.0,5,23,8,34.8,0.85,0.3,0.22,0.63,14.1,0,0,0,1.8,1.8,0.08,3.2,3.2,Matches,0.18518518518518517,5,0.18518518518518517,0.06666666666666667,0.06666666666666667,0.0782608695652174,3.2,0.8518518518518519,0.34782608695652173,0.21739130434782608,-0.10291444148463401,0.31838145810998125,0.7328145080679707,0.256198347107438,Balanced Shooter
Romano Schmid,AUT,MF,Werder Bremen,Bundesliga,24,2000,31.5,5,47,13,27.7,1.49,0.41,0.09,0.31,18.1,2,1,1,4.3,3.5,0.07,0.7,0.5,Matches,0.15873015873015872,4,0.12698412698412698,0.1365079365079365,0.1111111111111111,0.09148936170212765,0.5,1.492063492063492,0.2765957446808511,0.10638297872340426,0.1342651763424543,0.02926882698586941,0.07820143950464999,0.6694214876033059,Balanced Shooter
Bruno Guimarães,BRA,MF,Newcastle Utd,Premier League,26,1997,36.3,5,45,13,28.9,1.24,0.36,0.11,0.38,16.4,0,0,0,4.3,4.3,0.1,0.7,0.7,Matches,0.13774104683195593,5,0.13774104683195593,0.1184573002754821,0.1184573002754821,0.09555555555555555,0.7000000000000002,1.2396694214876034,0.28888888888888886,0.1111111111111111,0.04076058279707124,0.07916474427655293,0.10608310723975435,0.49380165289256184,Balanced Shooter
Joško Gvardiol,CRO,DF,Manchester City,Premier League,22,2002,36.4,5,40,12,30.0,1.1,0.33,0.13,0.42,12.9,0,0,0,4.6,4.3,0.11,0.4,0.7,Matches,0.13736263736263737,5,0.13736263736263737,0.12637362637362637,0.11813186813186813,0.11499999999999999,0.7000000000000002,1.098901098901099,0.3,0.125,-0.011389948146399652,0.12426297721236323,0.18798550621162358,0.13223140495867777,Balanced Shooter
Mathias Honsak,AUT,"FW,DF",Heidenheim,Bundesliga,27,1996,13.1,5,29,10,34.5,2.21,0.76,0.17,0.5,17.1,1,0,0,3.3,3.3,0.12,1.7,1.7,Matches,0.3816793893129771,5,0.3816793893129771,0.25190839694656486,0.25190839694656486,0.11379310344827585,1.7000000000000002,2.213740458015267,0.3448275862068966,0.1724137931034483,0.4016253057560189,0.30621102043614956,0.4675833509776598,0.566115702479339,Balanced Shooter
Callum Hudson-Odoi,ENG,"FW,MF",Nott'ham Forest,Premier League,23,2000,24.4,5,37,17,45.9,1.52,0.7,0.14,0.29,18.3,0,0,0,2.5,2.5,0.07,2.5,2.5,Matches,0.20491803278688525,5,0.20491803278688525,0.10245901639344263,0.10245901639344263,0.06756756756756757,2.5,1.5163934426229508,0.4594594594594595,0.13513513513513514,0.14327870876360294,0.7714835633992617,0.2477521216775822,0.6900826446280992,Balanced Shooter
